ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,RoadSection/Start,RoadSection/End,LocationMile
03F2899N,0000300129000Q,4,120.48633,23.511683,000030,國道3號,0,N,竹崎(縣道159線),竹崎(縣道166線),289K+900
05F0000S,0000501001000A,4,121.62302,25.035183,000050,國道5號,0,S,南港系統,石碇,0K+000
03F2306N,0000300123000M,4,120.70283,23.90678,000030,國道3號,0,N,南投服務區,南投,230K+600
01F3227N,0000100132300D,4,120.25,23.014172,000010,國道1號,0,N,大灣,永康,322K+700
03F1991S,0000300019900N,4,120.57766,24.102808,000030,國道3號,0,S,彰化系統,快官,199K+100
03F2415N,0000300124100M,4,120.700005,23.814837,000030,國道3號,0,N,竹山,名間,241K+500
03F2306S,0000300023000M,4,120.70283,23.90678,000030,國道3號,0,S,南投,南投服務區,230K+600
03F2415S,0000300024100M,4,120.700005,23.814837,000030,國道3號,0,S,名間,竹山,241K+500
01F3227S,0000100032300D,4,120.25,23.014172,000010,國道1號,0,S,永康,大灣,322K+700
03F0846N,0000300108400J,4,121.126,24.79144,000030,國道3號,0,N,竹林,關西,84K+600
03F0006S,0000300000070C,4,121.70891,25.137106,000030,國道3號,0,S,基金,瑪東系統,0K+600
03F0846S,0000300008400J,4,121.126,24.79144,000030,國道3號,0,S,關西,竹林,84K+600
03F2899S,0000300029000Q,4,120.48633,23.511683,000030,國道3號,0,S,竹崎(縣道166線),竹崎(縣道159線),289K+900
01F0532S,0000100005310H,4,121.2662,25.012943,000010,國道1號,0,S,機場系統,中壢服務區,53K+200
01F0980S,0000100009800J,4,120.99886,24.763586,000010,國道1號,0,S,新竹(科學園區),新竹系統,98K+000
01F1906N,0000100119050B,4,120.56813,24.113571,000010,國道1號,0,N,彰化系統,王田,190K+600
01F0750S,0000100007400H,4,121.11173,24.893436,000010,國道1號,0,S,校前路,湖口,75K+000
01F0750N,0000100107400H,4,121.11173,24.893436,000010,國道1號,0,N,湖口,校前路,75K+000
01F0532N,0000100105300H,4,121.2662,25.012943,000010,國道1號,0,N,中壢服務區,機場系統,53K+200
01H0208N,00001A0102080A,4,121.555016,25.072262,00001A,國道1號汐止五股高架道路,0,N,環北,下塔悠出口匝道,20K+800
03F0116N,0000300101150F,4,121.64347,25.06561,000030,國道3號,0,N,新台五路,汐止系統,11K+600
03F2709S,0000300027100P,4,120.57295,23.649141,000030,國道3號,0,S,古坑(文化路)&amp;古坑系統,古坑(朝陽路),270K+900
03A0041S,0000310000410A,4,121.58604,25.003864,000031,國道3甲,0,S,萬芳,木柵,4K+100
03F2535N,0000300125300P,4,120.6259,23.775581,000030,國道3號,0,N,斗六,南雲,253K+500
03F2777N,0000300127800P,4,120.53251,23.606792,000030,國道3號,0,N,梅山,古坑服務區,277K+700
01H0206S,00001A0002000A,4,121.55774,25.07275,00001A,國道1號汐止五股高架道路,0,S,堤頂,環北,20K+600
01F3686S,0000100036900E,4,120.33665,22.61912,000010,國道1號,0,S,高雄(中正、三多路),瑞隆路出口匝道,368K+600
03F0201S,0000300001990F,4,121.59598,25.007437,000030,國道3號,0,S,南港系統,木柵,20K+100
03F2777S,0000300027800P,4,120.53251,23.606792,000030,國道3號,0,S,古坑服務區,梅山,277K+700
03F2535S,0000300025300P,4,120.6259,23.775581,000030,國道3號,0,S,南雲,斗六,253K+500
01F1906S,0000100019060B,4,120.56813,24.113571,000010,國道1號,0,S,王田,彰化系統,190K+600
01F3185N,0000100131840D,4,120.25302,23.051311,000010,國道1號,0,N,永康,臺南系統,318K+500
03F0201N,0000300102000F,4,121.59638,25.007376,000030,國道3號,0,N,木柵,南港系統&amp;南深路出口匝道,20K+100
03F0116S,0000300001160F,4,121.64347,25.06561,000030,國道3號,0,S,汐止系統,新台五路,11K+600
03A0041N,0000310100410A,4,121.58604,25.003864,000031,國道3甲,0,N,木柵,萬芳,4K+100
