iter	Passed	Remaining
0	122	183771
1	237	177749
2	366	183104
3	494	184973
4	571	170759
5	698	174050
6	855	182521
7	985	183759
8	1116	184993
9	1257	187317
10	1389	188046
11	1518	188259
12	1646	188300
13	1775	188416
14	1901	188215
15	2040	189244
16	2173	189632
17	2302	189609
18	2427	189254
19	2556	189181
20	2682	188896
21	2806	188550
22	2935	188488
23	3060	188242
24	3187	188041
25	3316	188046
26	3444	187903
27	3571	187770
28	3696	187516
29	3824	187381
30	3948	187130
31	4088	187550
32	4243	188662
33	4387	189176
34	4513	188926
35	4637	188585
36	4761	188289
37	4887	188036
38	4978	186496
39	5102	186253
40	5239	186453
41	5390	187122
42	5525	187232
43	5652	187058
44	5779	186858
45	5907	186743
46	6036	186616
47	6167	186571
48	6299	186550
49	6431	186504
50	6566	186571
51	6701	186604
52	6828	186426
53	6959	186356
54	7089	186253
55	7217	186107
56	7343	185916
57	7472	185770
58	7598	185595
59	7727	185457
60	7855	185311
61	7983	185155
62	8110	184990
63	8235	184781
64	8363	184630
65	8502	184745
66	8629	184559
67	8754	184365
68	8879	184162
69	9015	184177
70	9148	184127
71	9280	184064
72	9340	182586
73	9478	182655
74	9614	182681
75	9747	182639
76	9885	182689
77	10010	182505
78	10140	182405
79	10273	182362
80	10401	182219
81	10529	182082
82	10656	181931
83	10785	181809
84	10915	181703
85	11041	181546
86	11170	181418
87	11313	181532
88	11442	181401
89	11570	181278
90	11699	181153
91	11827	181009
92	11985	181328
93	12115	181211
94	12242	181062
95	12371	180931
96	12497	180766
97	12618	180522
98	12735	180220
99	12850	179900
100	12975	179725
101	13100	179549
102	13227	179407
103	13344	179118
104	13460	178831
105	13574	178518
106	13694	178286
107	13806	177948
108	13917	177603
109	14028	177270
110	14151	177080
111	14264	176773
112	14377	176477
113	14495	176229
114	14620	176079
115	14739	175853
116	14860	175662
117	14982	175475
118	15112	175381
119	15237	175231
120	15366	175132
121	15497	175050
122	15625	174934
123	15750	174783
124	15892	174812
125	16018	174680
126	16146	174560
127	16275	174456
128	16351	173782
129	16478	173662
130	16587	173348
131	16713	173214
132	16844	173133
133	16973	173026
134	17104	172945
135	17235	172859
136	17364	172757
137	17504	172766
138	17634	172668
139	17762	172550
140	17902	172545
141	18029	172419
142	18160	172332
143	18285	172192
144	18413	172074
145	18542	171960
146	18670	171848
147	18745	171246
148	18872	171118
149	19001	171017
150	19142	171015
151	19217	170429
152	19345	170315
153	19474	170208
154	19601	170090
155	19730	169986
156	19857	169866
157	19985	169748
158	20113	169640
159	20245	169556
160	20384	169532
161	20515	169439
162	20641	169312
163	20767	169176
164	20909	169178
165	21035	169047
166	21161	168908
167	21285	168763
168	21409	168615
169	21535	168481
170	21660	168341
171	21784	168199
172	21911	168076
173	21968	167415
174	22114	167435
175	22237	167284
176	22381	167288
177	22540	167404
178	22675	167342
179	22825	167388
180	22983	167485
181	23118	167419
182	23275	167508
183	23410	167438
184	23546	167370
185	23688	167348
186	23813	167201
187	23946	167118
188	24091	167114
189	24223	167012
190	24355	166920
191	24488	166828
192	24622	166744
193	24758	166675
194	24896	166612
195	25020	166464
196	25184	166577
197	25313	166453
198	25451	166391
199	25608	166456
200	25732	166300
201	25857	166150
202	26020	166250
203	26147	166114
204	26274	165976
205	26411	165905
